T2MDEW,T2M,PS,TQV,TQL,H1000,HLML,RHOA,CIG,WS
20.5,25.3,101325,35.2,2.1,150.5,65.2,1.22,2000,3.5
21.2,26.1,101300,36.8,2.3,148.9,64.8,1.21,1950,4.2
19.8,24.7,101350,34.5,1.9,152.1,66.1,1.23,2050,2.8
22.1,27.5,101280,37.5,2.5,147.8,63.9,1.20,1900,5.1
20.3,25.8,101310,35.8,2.2,149.2,65.5,1.21,1980,3.8
21.5,26.8,101290,36.2,2.4,148.5,64.2,1.20,1920,4.5
19.9,24.9,101340,34.8,2.0,151.8,66.3,1.22,2030,2.9
22.3,27.8,101270,37.8,2.6,147.5,63.7,1.19,1880,5.3
20.7,26.0,101320,36.0,2.3,149.8,65.8,1.21,1990,4.0
21.8,27.2,101285,36.5,2.4,148.2,64.5,1.20,1930,4.7
